"name","price","rating","fromShipping","shippingCharge","seller","IsRefurbished","sold","Top Rated Plus","url"
"Apple iPhone 13 Pro 256GB Unlocked AT&T T-Mobile Verizon Very Good Condition","$774.95","4.5 out of 5 stars.",,,,"true","88+ ","true","https://www.ebay.com/itm/304600815041?epid=28051907537&hash=item46eb9f95c1:g:sn4AAOSw0JNjZDez&amdata=enc%3AAQAIAAAA4A%2Buvw8osjoP5M4rHXkzNuOTakWYTKa3jB%2BujVcQDrAHUiYZbKoV4zcxCW4SneMOxwnPC2IpUwtZ6AoS9h3o7EheXdXdgElS%2F4iaSnqkRIvs3Ug1vWIoTQKRywnWYBBDE%2FPY4cRbMaTOL7GSykrIbtRXqNO9ahzl3aH9Y8zwqifN1DJ7fLzqRAY61e%2Fz%2BxGSiMuaSk7DC4iFHPtqLzSMa00ptbnkmZ3hDK%2F8lOJC%2B9ue4ROchMxAEi%2FTn3I0dgvt17ndOkLJ%2Ft6R7EG8F79c%2BsSWS%2BLVo2Dz%2BN%2Bu%2Bl7PuajV%7Ctkp%3ABk9SR6Lo1saJYg"
"Apple iPhone 13 - 128GB 256GB 512GB - All Colors - Good Condition","$507.00 to $523.00","4.5 out of 5 stars.",,,,"true",,"true","https://www.ebay.com/itm/284798167339?epid=11049276145&hash=item424f4b292b:g:rqsAAOSwLwZiar2B&amdata=enc%3AAQAIAAAAwFQmWpT%2BbCou6vQtkpni4zxtn0FGMjbnu12SW5%2FnP3Sq1ykx0OzXVSketFrnPZWtcJNzktRWfpwyUpvipMVHP6gtEMkPyzmdJCF%2FZEk1P%2FKWMOveIGPFK%2Bn%2BpMstM0sSLAgUtBWb3mvPgq6f8Jjw4F30%2ByNUqTV7kTGKqXVGB7EyZY1s%2B1sCxMmj0oNNnKyttvD2O4UfxIc0Csn0FD6mfJedS4C7amJ46mUMsKimPw4S1aFk5H8Zm6X%2BcyUedkF04Q%3D%3D%7Ctkp%3ABk9SR6Lo1saJYg"
"Apple iPhone 13 128GB Unlocked Smartphone - Very Good","$574.95",,,,,"true",,"true","https://www.ebay.com/itm/404240048516?epid=18052738374&hash=item5e1e95a184:g:L38AAOSwjZ5kNFYd&amdata=enc%3AAQAIAAAAwPK%2FHG21U8FLJiy2%2FUEd1w3eZPmj3pCnEAjHTkY8Trji0k1X8NulWkqmF2Ku3M3CRoMalw9GUSMlzAdMHBULVqrSUYF86E5xugMcVmG%2BE3%2BfWjcoS56hTBFJLE%2B1sh8QR4RCIhUJ0J2Cq%2FpUlNCOLHV7A83j%2BvgjdtO8zScYqNDw25vSK1h2iya6%2FyJgn%2BxcAh1hTBOqDwjlKh8AKNS2xt%2Fd0Ql%2F04Z3%2BtU%2FhQ9E4nsMBwL2dQnrP50wPPBOChCh6g%3D%3D%7Ctkp%3ABk9SR6Lo1saJYg"
"Apple iPhone 13 - 128GB 256GB 512GB (UNLOCKED)🔋 100% BATTERY 🔋 ⚫⚪🔴 ✤SEALED✤","$684.95",,,,,"false","22+ ","true","https://www.ebay.com/itm/225505602327?epid=4056419506&hash=item34812e6b17:g:C4QAAOSwOf5kJ46s&amdata=enc%3AAQAIAAAAwOp1aCrlbaARIbk1Xm4mNEHd6FMZmgGAOPIrHIblM3F4ZGYbjn1832qNYMsU%2BAtvH4RQMrJkQ2k8htuRuagiCfluUzpLjMgmLWcKbvfKxnvXKi3sC%2F1INHR9GMF9N2zPWUTE5OsVY%2FbKRRjem%2BRiD%2FfvQ5lWn5ATeKkt4p16LqqessUsVpeyQFIrE0sF5KklNp2k%2BgTBjV4QOGnf8Uk%2Bm29TsxOq4G2f%2FgiyZ22nThm%2BO6jFyNW%2BxmY9PTUt6yTh3g%3D%3D%7Ctkp%3ABk9SR6Lo1saJYg"
"Apple iPhone 13 mini - (Unlocked) - 128GB - 256GB - 512GB - Good","$469.00 to $569.00","5.0 out of 5 stars.",,,,"true",,"true","https://www.ebay.com/itm/364235588726?epid=4049279846&hash=item54ce220476:g:NZEAAOSwcUFkSqcI&amdata=enc%3AAQAIAAAA4PsibznDwAGF4ZeY3jgYs4Nv14%2FtiOMLXuv8S5rHLKv3Ou%2BZlm74oWbupWEKFvV6KMvFDAU7MhzyuxMexhmk7u6OrKDbDaHITja2J6LITXq%2FlI4bglRwtuEhjk2NZJD7P4NKPtvw4fAlguuD%2FEo1v3jwxl%2FCzi9qgVbeUg1j3WEaw8iQYgMdrrhda5cIV2myUN4u5ve6PE6iBR81B1uVxw6136m2yRWKSy98dtDVjLebKJX%2B6X4Bwc65%2Brm%2F6w5A0BPHqGhkXp%2BjbI6g3XbcZW2P5wC0ap6wtiFdGOrdoz0%2B%7Ctkp%3ABk9SR6Lo1saJYg"
"Apple iPhone 13 256GB Red Unlocked Good Condition","$549.99","5.0 out of 5 stars.",,,,"true",,"true","https://www.ebay.com/itm/354735057389?epid=24049280306&hash=item5297db69ed:g:as4AAOSw84tkQxEz&amdata=enc%3AAQAIAAAA4GgXFDpcdwfLyqBz1bvtZhCasY4j0C6PE%2B4bi2SePcQ%2FoIqWiOf9w8JxnAKuTkyfZNSojWZuZ8JBJKgg3faZOT1pqKkZPYLqehVx6TstiiJsM6zSMu7Eo4jNSKlNuscdc2Uf1eNmLQhQvPujM%2Bvj0rrCjBY1L0ycnqYEckC4iZN95lWZdeIgktscA7uRHoLhoVeYPSbJ2wEEVmH70tqxrzptuSvY1OWGQAUuyc4W4hA6YbCLfKdM9mJr4F%2BIljofAQSIuGx4kokk87dY4b0F2apCdjd3EAJ%2FaeBnloqfACCH%7Ctkp%3ABFBMoujWxoli"
"Apple iPhone 13 mini 128GB AT&T T-Mobile Verizon(Unlocked) - Good","$479.00","5.0 out of 5 stars.",,,,"true",,"true","https://www.ebay.com/itm/144898277063?epid=4049279846&hash=item21bc9c3ec7:g:voQAAOSwGLZjwbQT&amdata=enc%3AAQAIAAAA4F8OVKouJfCK2m1qu6TELuWi99Xhu3dYxUTAHeKlq%2Fj3pv3ic3D0qzzz5Vxnrr3gZrX%2BviCvYjmjE6fGFMAjWJ8c8ktkoT3fjW8djcQa2q68YM%2BhPGsKwDJR5fHaJuKi%2FZcUqM1xJMnOi25JQKIHFrhocdKAedeGNdL8PJLAdMsyojTn9ZItlCMXTbk%2FXznS7iSa5Wr0XVIduJTkWqAtl%2FFLfxvM4wiackrPtcMHAnINtfdN8vg4OhMK5vDkRHNd2kgdiqizZdibL8z63OZ0W1X0BYccPK1RXBe0AxQaSWAU%7Ctkp%3ABFBMoujWxoli"
"Apple iPhone 13 Pro Max A2484 256GB Unlocked Good Condition","$902.74","5.0 out of 5 stars.",,,,"true","212+ ","true","https://www.ebay.com/itm/354393204966?epid=21049288275&hash=item52837b28e6:g:jeIAAOSwZU9jcpQ-&amdata=enc%3AAQAIAAAA4KKPegd2iSictFUPVlrxJQ0Eh5hbiTptD7ATXwxirG7KayifJuZJ77W71W02o3XYjGsGm8T79O4cB7QLd4nGJR5opmuI5oHwggSZ2V9UyccDwPYlBqmUu8hrzmBUEjnkQaKsQaYaXozqhQtvJbDx9wHzlZR8MPXolwwjBb3hzdMLqjW%2F4FC5YA0rYRccoCPMxKVDf3CBbAwLMUZZXEmAHAEQJiP17qt6kuz7oqHjD6j9QoydKDhkMIenEu456LSxaPcK1%2FF4JPdyOJ7CVOJ%2Bs4WX9KpMSjsLry5NAkxu2X%2Ft%7Ctkp%3ABFBMoujWxoli"
"New ListingApple iPhone 13 - 128GB - Black - Verizon Wireless - Battery health 100%","$425.00","5.0 out of 5 stars.",,,,"false",,"true","https://www.ebay.com/itm/225588599483?epid=19049287599&hash=item348620dabb:g:y5QAAOSwdkZkbPH0&amdata=enc%3AAQAIAAAAwBo2SGolcUQORETVCZaYQgh%2FzRIdno4xyEoB1Oum88AmxY7he5zDzwdwuqgi0GaP0RSA%2FWnIxY2crrgiEafQPDBxjNZwmPBH2xiqbU2ZffZmGTbb3bkW4mcdxozSs%2FFQhsi9XEge4h6pP3luD6Mdd7%2FhTRroNCHz1EwanaIpvg7596nIYPogK3qi8ASqe20KJCpYeY18TXZS2F1NtDO2qnMxZn1Vot7nWVq1wM3lfZEl%2FyVxPq18SgNUUKmCUH9T6A%3D%3D%7Ctkp%3ABk9SR6Lo1saJYg"
"Apple iPhone 13 Pro 128GB Unlocked AT&T T-Mobile Verizon Very Good Condition","$734.95",,,,,"true","132+ ","true","https://www.ebay.com/itm/295217227352?hash=item44bc516658:g:QnQAAOSwKFxjZDd~&amdata=enc%3AAQAIAAAA4OktIytn192kMzQEL6uoUcvEP%2FIfS9fU5hNNZOdEEvh7j3se0k6CfpdkeIymdy2F%2BlBGuCAdHgM0ynlkXtTe4bIv88impLmiW7dVuIcWW7OOfXyoobsSWm0o0BNNC1kCh1IgEdWc2LCRHNvqzyFytyzNR6qzOSSZos0hVHH4T9pznaqT%2BSQKh248pBA0YXiEp67UBq9ChNBTJEQqXOFUie0w%2BK6iw1sT7kCGa3b51IB%2BDN5n%2FIdaSgArE7UVg9ZkBJYSXqOh%2FyOr7iPU96TVTGvJfwD2pVH0inEHRfDKztOw%7Ctkp%3ABk9SR6Lo1saJYg"
